Kind of Business,Jan 1998,Feb 1998,Mar 1998,Apr 1998,May 1998,Jun 1998,Jul 1998,Aug 1998,Sep 1998,Oct 1998,Nov 1998,Dec 1998,Total
"Retail and food services sales, total",207853,203863,230313,234503,245027,244067,241431,240462,231243,244234,240991,288969,2852956.0
Retail sales and food services excl motor vehicle and parts,158132,153119,170482,174475,182817,179213,181661,182720,174613,184751,188435,234123,2164541.0
Retail sales and food services excl gasoline stations,192618,189800,214955,218816,228247,227337,224137,223644,215384,227824,225618,272849,2661229.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,142897,139056,155124,158788,166037,162483,164367,165902,158754,168341,173062,218003,1972814.0
"Retail sales, total",187445,183767,207973,212262,221155,220867,217687,216605,208915,220499,218969,265618,2581762.0
"Retail sales, total (excl. motor vehicle and parts dealers)",137724,133023,148142,152234,158945,156013,157917,158863,152285,161016,166413,210772,1893347.0
GAFO(1),50777,50744,56790,58363,61136,59553,59602,63575,58678,62784,71608,104326,757936.0
Motor vehicle and parts dealers,49721,50744,59831,60028,62210,64854,59770,57742,56630,59483,52556,54846,688415.0
Automobile and other motor vehicle dealers,45243,46390,54803,54934,57069,59574,54406,52517,51555,54167,47787,49971,628416.0
Automobile dealers,43371,44090,51772,51484,53328,55940,50755,49441,48698,51277,45679,47666,593501.0
New car dealers,39690,39936,47249,47084,48972,51217,46220,44965,44560,46742,41949,43975,542559.0
Used car dealers,3681,4154,4523,4400,4356,4723,4535,4476,4138,4535,3730,3691,50942.0
"Automotive parts, acc., and tire stores",4478,4354,5028,5094,5141,5280,5364,5225,5075,5316,4769,4875,59999.0
"Furniture, home furn, electronics, and appliance stores",12293,11583,12577,11985,12439,12788,13127,13429,12789,13161,14613,19359,160143.0
Furniture and home furnishings stores,5822,5581,6162,6038,6225,6310,6466,6502,6329,6693,7186,8098,77412.0
Furniture stores,3569,3375,3657,3468,3622,3606,3660,3673,3603,3734,3975,4168,44110.0
Home furnishings stores,2253,2206,2505,2570,2603,2704,2806,2829,2726,2959,3211,3930,33302.0
Floor covering stores,1153,1178,1358,1413,1367,1465,1458,1479,1498,1578,1496,1518,16961.0
All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
Electronics and appliance stores,6471,6002,6415,5947,6214,6478,6661,6927,6460,6468,7427,11261,82731.0
Household appliance stores,830,769,853,839,921,999,1043,962,889,932,947,1115,11099.0
Electronics stores,5641,5233,5562,5108,5293,5479,5618,5965,5571,5536,6480,10146,71632.0
Building mat. and garden equip. and supplies dealers,13303,13298,16065,18342,19145,19008,18249,17036,17301,17934,16167,16575,202423.0
Building mat. and supplies dealers,11400,11326,13453,14815,15323,16078,15875,15048,15191,15676,14025,13991,172201.0
Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
Hardware stores,972,900,1104,1321,1421,1422,1352,1307,1292,1296,1221,1357,14965.0
Food and beverage stores,33440,30661,33392,33926,35722,34351,36390,35388,34037,35421,34557,39240,416525.0
Grocery stores,30679,27947,30501,30826,32456,31215,33067,32220,31005,32214,31377,34681,378188.0
Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
"Beer, wine, and liquor stores",1846,1768,1894,1963,2140,2059,2209,2118,2031,2163,2154,3037,25382.0
Health and personal care stores,10185,9761,10445,10609,10730,10651,10763,10755,10458,10995,10805,13426,129583.0
Pharmacies and drug stores,8526,8185,8711,8854,8969,8785,8897,8884,8730,9231,9144,11499,108415.0
Gasoline stations,15235,14063,15358,15687,16780,16730,17294,16818,15859,16410,15373,16120,191727.0
Clothing and clothing access. stores,8800,9499,10863,11825,12239,11451,11633,12971,11214,12384,13854,22418,149151.0
Clothing stores,6224,6366,7736,8414,8436,7983,8211,9128,8040,8993,10031,14566,104128.0
Men's clothing stores,716,644,735,844,836,817,757,844,754,865,955,1429,10196.0
Women's clothing stores,1722,1767,2194,2507,2512,2254,2222,2327,2244,2422,2531,3630,28332.0
Family clothing stores,2769,2875,3563,3821,3896,3788,4054,4534,3793,4433,5181,7447,50154.0
Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
Shoe stores,1360,1518,1774,1936,1929,1819,1877,2265,1704,1799,1800,2457,22238.0
Jewelry stores,1110,1502,1228,1352,1742,1515,1405,1455,1362,1495,1909,5196,21271.0
