Kind of Business,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Total
Household appliance stores,1302,1290,1493,1350,1453,1448,1396,1387,1385,1360,1510,1432,16806.0
Electronics stores,5732,5429,6002,5323,5702,5779,5675,6081,5909,5808,8193,9985,75618.0
Building mat. and garden equip. and supplies dealers,22389,22494,29230,31259,35632,33437,30060,30304,28978,29672,29182,26728,349365.0
Building mat. and supplies dealers,20256,19963,25217,25962,29761,28839,26497,27031,26017,26536,25953,23439,305471.0
Paint and wallpaper stores,747,772,978,935,1082,1115,1044,1124,1015,1039,897,788,11536.0
Hardware stores,1781,1696,2127,2208,2441,2392,2194,2248,2161,2264,2153,2226,25891.0
Food and beverage stores,57800,54492,60237,59605,62115,60545,61611,61414,60283,60762,62093,67886,728843.0
Grocery stores,52552,49212,54366,53635,55709,54191,55159,55083,54142,54561,55443,59125,653178.0
Supermarkets and other grocery (except convenience) stores,50497,47201,52090,51267,53223,51771,52679,52628,51676,52095,53089,56756,624972.0
"Beer, wine, and liquor stores",3578,3606,4074,4077,4456,4482,4598,4452,4346,4343,4638,5972,52622.0
Health and personal care stores,25715,24718,27499,25819,27376,26848,25966,27609,26551,27761,27402,30602,323866.0
Pharmacies and drug stores,21723,20599,22640,21612,23007,22345,21610,22820,21944,23386,22676,24692,269054.0
Gasoline stations,35924,34210,39103,39460,41292,40493,40211,41634,41677,41964,40241,39943,476152.0
Clothing and clothing access. stores,15907,18020,21332,21143,21945,20618,20795,22775,19909,20469,24560,33923,261396.0
Clothing stores,11843,12703,15785,15683,16005,15397,15368,16356,14713,15361,18393,23501,191108.0
Men's clothing stores,622,644,797,834,873,803,688,719,759,745,786,1026,9296.0
Women's clothing stores,2373,2668,3364,3496,3487,3220,3083,3173,3007,3179,3638,4524,39212.0
Family clothing stores,6024,6542,8372,8440,8623,8388,8711,9125,8079,8628,10639,13641,105212.0
Other clothing stores,1502,1444,1579,1376,1479,1494,1385,1576,1362,1297,1513,1815,17822.0
Shoe stores,2143,2674,3233,3076,2918,2765,2976,3925,2754,2646,3078,4144,36332.0
Jewelry stores,1742,2435,2101,2172,2746,2237,2204,2263,2215,2231,2810,5832,30988.0
"Sporting goods, hobby, musical instrument, and book stores",6215,5549,6623,6339,6552,6716,6499,7639,6722,6349,7794,10899,83896.0
Sporting goods stores,2955,3030,3780,3645,3802,4108,3916,4225,3573,3402,3999,5530,45965.0
"Hobby, toy, and game stores",1182,1181,1355,1278,1247,1178,1193,1243,1348,1445,2239,3258,18147.0
Book stores,1380,672,690,712,766,685,647,1370,976,654,663,1114,10329.0
General merchandise stores,49906,49571,55762,55651,56603,56738,56386,57880,54481,56416,63781,78716,691891.0
Department stores,9386,9909,11630,11460,11833,11587,11332,12170,10891,11176,14897,20383,146654.0
Department stores(excl. discount department stores),2847,3266,3768,3789,3983,3665,3516,3608,3557,3586,4907,7943,48435.0
Discount dept. stores,6539,6643,7862,7671,7850,7922,7816,8562,7334,7590,9990,12440,98219.0
Other general merchandise stores,40520,39662,44132,44191,44770,45151,45054,45710,43590,45240,48884,58333,545237.0
Warehouse clubs and superstores,35225,34246,37986,38044,38470,38860,38973,39541,37601,39009,42138,50087,470180.0
All other gen. merchandise stores,5295,5416,6146,6147,6300,6291,6081,6169,5989,6231,6746,8246,75057.0
Miscellaneous store retailers,8654,8804,9919,9692,11205,10517,10265,10750,10198,10679,10763,11736,123182.0
"Office supplies, stationery, and gift stores",2196,2059,2291,2206,2449,2379,2459,2875,2494,2896,2419,3338,30061.0
Office supplies and stationery stores,1186,971,1058,920,961,897,926,1390,1076,941,919,1016,12261.0
"Gift, novelty, and souvenir stores",1010,1088,1233,1286,1488,1482,1533,1485,1418,1955,1500,2322,17800.0
Used merchandise stores,1226,1249,1426,1321,1388,1324,1380,1455,1425,1562,1483,1500,16739.0
Nonstore retailers,45822,43112,49590,45486,49369,47780,46412,49518,46838,49547,61102,73618,608194.0
Electronic shopping and mail-order houses,38057,35954,41820,39274,42753,41570,40756,43216,40559,42667,53288,64725,524639.0
Fuel dealers,3943,3375,3371,2129,1914,1632,1472,1707,1854,2362,3243,4431,31433.0
Food services and drinking places,52983,52835,60191,58623,60171,58695,58474,58502,57132,58184,55671,61188,692649.0
Drinking places,1977,1955,2278,2119,2182,2098,2157,2104,2160,2204,2071,2231,25536.0
Restaurants and other eating places,46503,45966,52531,50905,52503,51666,51817,51564,49019,49968,48097,53589,604128.0
Full service restaurants,23690,23611,26690,25741,26175,25482,25360,25120,23977,24361,23783,27777,301767.0
Limited service eating places,22813,22355,25841,25164,26328,26184,26457,26444,25042,25607,24314,25812,302361.0
