Kind of Business,Jan 2007,Feb 2007,Mar 2007,Apr 2007,May 2007,Jun 2007,Jul 2007,Aug 2007,Sep 2007,Oct 2007,Nov 2007,Dec 2007,Total
"Retail and food services sales, total",328877,323162,374142,358535,391512,376639,372354,388016,353936,368681,377802,426077,4439733
Retail sales and food services excl motor vehicle and parts,262292,253789,290309,281270,306329,296815,293257,303383,280466,294220,310458,357006,3529594
Retail sales and food services excl gasoline stations,297955,293400,338539,321858,350134,336158,331658,347629,316261,329256,338000,387063,3987911
Retail sales and food services excl motor vehicle and parts and gasoline stations,231370,224027,254706,244593,264951,256334,252561,262996,242791,254795,270656,317992,3077772
"Retail sales, total",295284,290065,335917,321981,353201,338189,333815,349191,317145,331073,341848,387473,3995182
"Retail sales, total (excl. motor vehicle and parts dealers)",228699,220692,252084,244716,268018,258365,254718,264558,243675,256612,274504,318402,3085043
GAFO(1),81867,80923,91885,86935,93516,91675,89929,97930,87545,90808,106767,143646,1143426
Motor vehicle and parts dealers,66585,69373,83833,77265,85183,79824,79097,84633,73470,74461,67344,69071,910139
Automobile and other motor vehicle dealers,61048,63931,77323,71195,78577,73265,72619,77809,67408,67717,61212,63300,835404
Automobile dealers,57009,59771,70738,64366,70465,65945,66174,71327,62397,62846,57241,59124,767403
New car dealers,50920,53146,63462,57632,63279,59095,59393,64017,55806,56263,51284,53410,687707
Used car dealers,6089,6625,7276,6734,7186,6850,6781,7310,6591,6583,5957,5714,79696
"Automotive parts, acc., and tire stores",5537,5442,6510,6070,6606,6559,6478,6824,6062,6744,6132,5771,74735
"Furniture, home furn, electronics, and appliance stores",17514,16716,17936,16210,17647,17571,17637,19076,17160,17414,20960,25644,221485
Furniture and home furnishings stores,8802,8423,9415,8553,9266,9171,9194,9867,8885,9069,10012,10487,111144
Furniture stores,4851,4903,5195,4688,5018,4892,4874,5206,4873,4740,5063,4985,59288
Home furnishings stores,3951,3520,4220,3865,4248,4279,4320,4661,4012,4329,4949,5502,51856
Floor covering stores,1741,1567,1937,1797,1919,1952,1901,2087,1776,1977,1807,1610,22071
All other home furnishings stores,2088,1843,2155,1926,2180,2171,2253,2410,2093,2193,2980,3771,28063
Electronics and appliance stores,8712,8293,8521,7657,8381,8400,8443,9209,8275,8345,10948,15157,110341
Household appliance stores,1395,1306,1447,1343,1541,1532,1479,1565,1405,1486,1635,1665,17799
Electronics stores,7317,6987,7074,6314,6840,6868,6964,7644,6870,6859,9313,13492,92542
Building mat. and garden equip. and supplies dealers,21936,20803,27282,28882,34219,30194,28511,28261,25243,27380,25850,22293,320854
Building mat. and supplies dealers,20238,18893,23857,24763,28628,26408,25588,25666,22706,24458,22742,19900,283847
Paint and wallpaper stores,692,683,860,853,980,976,974,1005,843,905,766,629,10166
